granule_id,start_time,end_time,local_filepath
G3790983588-LARC_CLOUD,2025-10-04 21:31:03+00:00,2025-10-04T22:27:24Z,./NRT_DATASET/HCHO/tempo_data\117185666_TEMPO_HCHO_L3_NRT_V02_20251004T213103Z_S012_subsetted.nc4
G3790949121-LARC_CLOUD,2025-10-04 20:31:03+00:00,2025-10-04T21:30:44Z,./NRT_DATASET/HCHO/tempo_data\117188940_TEMPO_HCHO_L3_NRT_V02_20251004T203103Z_S011_subsetted.nc4
G3790868564-LARC_CLOUD,2025-10-04 19:31:03+00:00,2025-10-04T20:30:44Z,./NRT_DATASET/HCHO/tempo_data\117191927_TEMPO_HCHO_L3_NRT_V02_20251004T193103Z_S010_subsetted.nc4
